property_type,place_with_parent_names,lat-lon,area_m2,price_usd
apartment,|México|Distrito Federal|Gustavo A. Madero|Acueducto de Guadalupe|,"19.52589,-99.151703",71.0,48550.59
house,|México|Estado de México|Toluca|Metepec|,"19.2640539,-99.5727534",233.0,168636.73
house,|México|Estado de México|Toluca|Toluca de Lerdo|Ocho Cedros|,"19.268629,-99.671722",300.0,86932.69
house,|México|Morelos|Temixco|Burgos Bugambilias|,,275.0,263432.41
apartment,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.511938,-96.871956",84.0,68508.67
house,|México|Jalisco|Guadalajara|,"20.689157,-103.366728",175.0,102763.0
house,|México|Sinaloa|Mazatlán|,,146.0,152421.99
apartment,|México|Tamaulipas|Tampico|,,165.0,105397.95
apartment,|México|Distrito Federal|Miguel Hidalgo|,,80.0,310923.97
house,|México|Yucatán|Mérida|,"21.0441317,-89.6216334",223.0,126477.54
house,|México|Quintana Roo|Benito Juárez|Cancún|,"21.129547,-86.817017",179.0,121207.64
house,|México|Guanajuato|Guanajuato|,"21.003574,-101.285683",205.0,226869.1
house,|México|Chiapas|Jiquipilas|Michoacán|,"19.667873,-101.233465",130.0,76395.4
apartment,|México|Distrito Federal|Cuauhtémoc|,"19.443178,-99.144234",67.0,50052.15
apartment,|México|Distrito Federal|Benito Juárez|,"19.396593,-99.133163",80.0,51076.22
house,|México|Guanajuato|León|,"21.1299039,-101.6220159",263.0,152932.43
house,|México|Nuevo León|Monterrey|,"25.625994,-100.283852",367.0,216014.58
apartment,|México|Distrito Federal|Gustavo A. Madero|,"19.524143,-99.160149",60.0,34246.21
apartment,|México|Distrito Federal|Álvaro Obregón|,"19.386959,-99.219492",120.0,100104.31
house,|México|Puebla|San Andrés Cholula|,,294.0,214170.55
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"20.949741,-97.396337",320.0,158059.45
house,|México|Morelos|Cuernavaca|,"18.920345,-99.235603",122.0,103500.79
apartment,|México|Guerrero|,"16.863794,-99.881614",191.0,237145.4
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.136782,-96.123543",220.0,104319.23
apartment,|México|Distrito Federal|Benito Juárez|,"19.403334,-99.145021",153.0,65633.66
house,|México|Yucatán|Mérida|Cholul|,"21.0411724,-89.5550539",205.0,90115.25
house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,"25.441315,-100.987683",120.0,110667.85
house,|México|Baja California|Tijuana|,"32.425724,-117.034189",115.0,62585.3
house,|México|Estado de México|Texcoco|,"19.484794,-98.874065",260.0,91674.48
apartment,|México|Distrito Federal|Benito Juárez|,"19.378533,-99.187561",107.0,79443.7
house,|México|Nuevo León|Monterrey|,"25.740887,-100.385582",192.0,115910.26
house,|México|Chiapas|Tuxtla Gutiérrez|,"16.769737,-93.088928",106.0,52686.48
house,|México|Jalisco|Guadalajara|,"20.650429,-103.374611",190.0,150192.08
apartment,|México|Distrito Federal|Gustavo A. Madero|,,79.0,39524.23
apartment,|México|Distrito Federal|Álvaro Obregón|,"19.387613,-99.202726",103.0,50942.31
house,|México|Morelos|Jiutepec|,"18.890867,-99.177444",171.0,105397.95
apartment,|México|Quintana Roo|Benito Juárez|Cancún|,"21.139086,-86.84964",203.0,189716.32
apartment,|México|Distrito Federal|Cuauhtémoc|,"19.413079,-99.174228",140.0,273969.71
house,|México|Distrito Federal|Cuauhtémoc|,"19.410826,-99.143757",160.0,157532.58
house,|México|Morelos|Cuernavaca|,"18.900852,-99.213448",200.0,173865.39
apartment,|México|Distrito Federal|Cuauhtémoc|,"19.428767,-99.1459",75.0,56689.55
house,|México|Estado de México|Ecatepec de Morelos|Ecatepec de Morelos|Izcalli Ecatepec|,"19.595285,-99.050201",149.0,100104.31
apartment,|México|Estado de México|Atizapán de Zaragoza|,"19.531834,-99.240456",117.0,144922.18
house,|México|Morelos|Cuautla|,"18.818652,-98.936752",293.0,110667.85
house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,"23.634501,-102.552788",233.0,99577.45
house,|México|Quintana Roo|Benito Juárez|Cancún|,"21.137991,-86.870964",280.0,92201.34
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"18.7696195,-95.758949",160.0,92130.98
house,|México|San Luis Potosí|San Luis Potosí|,"22.169217188,-101.0471907892",190.0,99050.58
house,|México|Nuevo León|Santiago|Bosques de San José|,"23.634501,-102.552788",200.0,98523.72
house,|México|Estado de México|Juchitepec|Juchitepec de Mariano Riva Palacio|,"19.101794,-98.87164",300.0,52686.48
house,|México|Puebla|San Andrés Cholula|,,245.0,226551.88
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.517859,-96.891403",180.0,123842.59
house,|México|Distrito Federal|Tlalpan|,"19.2790911,-99.2114234",117.0,142253.5
apartment,|México|Oaxaca|Santa María Huatulco|,"15.752900306,-96.1357247829",83.0,68245.17
apartment,|México|Distrito Federal|Tlalpan|Fuentes del Pedregal|,"19.302422,-99.230829",104.0,103370.88
house,|México|Distrito Federal|Álvaro Obregón|,"19.343664,-99.212308",350.0,242357.82
apartment,|México|Guerrero|Acapulco de Juárez|,"16.868438,-99.89028",100.0,79029.72
house,|México|Yucatán|Mérida|Cholul|,,190.0,89061.27
house,|México|Morelos|Cuernavaca|,"18.93409,-99.254997",198.0,123813.23
house,|México|Estado de México|Ecatepec de Morelos|Ecatepec de Morelos|,"19.534415,-99.023333",280.0,55039.77
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,235.0,144887.83
house,|México|Puebla|San Andrés Cholula|,"19.043223,-98.268716",168.0,92201.34
apartment,|México|Puebla|Puebla|,"19.0527224248,-98.2346042991",75.0,81683.41
house,|México|Yucatán|Mérida|Temozon Norte|,,230.0,120074.62
house,|México|Morelos|Cuernavaca|La Cañada|,"18.981213,-99.206345",200.0,115910.26
apartment,|México|Distrito Federal|Benito Juárez|,"19.395097,-99.150424",80.0,53158.13
house,|México|Morelos|Temixco|,"18.862602,-99.213448",305.0,189716.32
house,|México|Jalisco|Zapopan|,"20.594334,-103.425086",90.0,57955.13
apartment,|México|Puebla|San Andrés Cholula|,,212.0,293358.34
house,|México|Puebla|Puebla|,"18.9915056,-98.2181614",152.0,105397.95
apartment,|México|San Luis Potosí|San Luis Potosí|,"22.125832,-101.035118",144.0,100128.05
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,252.0,144922.18
apartment,|México|Nuevo León|Monterrey|,"25.592172,-99.9961947",87.0,173490.81
house,|México|Estado de México|Toluca|,"19.295469,-99.692619",84.0,49986.51
house,|México|Guanajuato|Irapuato|,"20.703063,-101.339442",90.0,55320.8
house,|México|Chiapas|Jiquipilas|Michoacán|,"19.670241,-101.190542",190.0,165962.42
house,|México|Yucatán|Mérida|,"20.9591553064,-89.627494812",135.0,89587.99
house,|México|Jalisco|Zapopan|,"20.635013,-103.42725",200.0,120652.04
house,|México|Chiapas|Jiquipilas|Michoacán|,"19.673779,-101.187927",260.0,158059.45
apartment,|México|Tabasco|Centro|,"17.997911,-92.923836",125.0,210745.93
apartment,|México|Estado de México|Naucalpan de Juárez|,"19.508253,-99.254997",113.0,153686.47
apartment,|México|Morelos|Cuernavaca|,"18.937398,-99.246207",127.0,131747.44
apartment,|México|Baja California|Tijuana|Tijuana|Loma Bonita Norte|,"32.486253,-117.054332",63.0,36817.31
house,|México|Puebla|San Andrés Cholula|,"18.9802279987,-98.2865452766",272.0,210795.91
house,|México|Querétaro|El Marqués|,"20.5969621,-100.3337597",95.0,52698.97
house,|México|Yucatán|Mérida|,"21.0181429,-89.6396127",180.0,72724.58
house,|México|Chihuahua|Chihuahua|,"28.6275048,-106.0401387",212.0,44256.64
house,|México|Chiapas|Jiquipilas|Michoacán|,,280.0,252895.06
house,|México|Querétaro|Querétaro|,"20.723525,-100.45586",248.0,151210.2
house,|México|Distrito Federal|Tláhuac|,,223.0,79029.72
house,|México|Querétaro|Querétaro|Real de Juriquilla|,"20.729762,-100.467159",198.0,131716.2
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"18.7696195,-95.758949",245.0,147557.13
house,|México|Distrito Federal|Cuauhtémoc|,"19.410632,-99.13847",140.0,162801.23
house,|México|Estado de México|Tecámac|,"19.672207,-99.015656",158.0,86247.77
house,|México|Chihuahua|Chihuahua|,"28.6103324259,-106.1123085022",200.0,134382.39
house,|México|Baja California Sur|Los Cabos|El Zacatal|,"23.634501,-102.552788",100.0,44730.82
apartment,|México|Tabasco|Centro|,"17.928942,-92.912029",67.0,35826.8
house,|México|Estado de México|Cuautitlán Izcalli|,,70.0,57955.13
house,|México|Jalisco|Tlajomulco de Zúñiga|Tlajomulco de Zúñiga|,"20.572651,-103.474675",270.0,250260.79
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.1553371,-96.1682507",282.0,68508.67
house,|México|Yucatán|Mérida|,,203.0,93781.94
