property_type,state,lat,lon,area_m2,price_mxn
apartment,Nuevo León,25.721081,-100.345581,72.0,1300000.0
apartment,Puebla,,,190.0,2500000.0
house,Morelos,23.634501,-102.552788,360.0,5300000.0
house,Morelos,,,76.0,820000.0
house,Puebla,,,200.0,1100000.0
house,San Luis Potosí,,,162.0,1860000.0
apartment,Estado de México,19.2720402,-99.572013,85.0,1250000.0
house,San Luis Potosí,22.1388821177,-100.9965100633,158.0,2120000.0
apartment,Distrito Federal,19.394558,-99.129707,65.0,758190.0
house,Morelos,,,216.0,2750000.0
house,Veracruz de Ignacio de la Llave,19.1680666,-96.160663,100.0,670000.0
apartment,Distrito Federal,19.3261962968,-99.140586108,74.0,2990000.0
house,Yucatán,21.0552216,-89.6583682,220.0,2137000.0
house,Chihuahua,28.691416,-106.13604,236.0,2100000.0
house,Morelos,,,277.0,5700000.0
apartment,Jalisco,20.641428,-103.417295,85.0,1690000.0
house,San Luis Potosí,22.126078,-100.944672,131.0,1045000.0
house,Puebla,19.0364236166,-98.1994184107,337.0,3100000.0
apartment,Distrito Federal,19.367239,-99.186126,92.0,3500000.0
apartment,Guerrero,16.851935,-99.844955,195.0,2000000.0
house,Veracruz de Ignacio de la Llave,19.153019,-96.12487,207.0,2750000.0
house,Nuevo León,25.7501328883,-100.2701137385,280.0,1990000.0
apartment,Estado de México,19.536253,-99.240456,99.0,1250000.0
house,Chiapas,19.673779,-101.187927,210.0,2600000.0
house,Baja California,32.4690603,-116.8196303,111.0,1366313.0
house,Yucatán,21.030771,-89.646347,150.0,1200000.0
house,Chiapas,16.717077,-93.162903,170.0,1800000.0
house,Morelos,18.813908,-99.201675,86.0,1000000.0
apartment,Distrito Federal,19.473001,-99.087491,79.0,680990.0
house,Yucatán,21.072905,-89.65963,190.0,1850000.0
house,Querétaro,20.618279,-100.346985,237.0,3000000.0
house,Yucatán,21.075163,-89.516731,300.0,2190000.0
house,Guerrero,16.8659727494,-99.8717173934,300.0,2500000.0
house,Chiapas,,,270.0,3300000.0
house,Estado de México,,,350.0,4000000.0
house,Veracruz de Ignacio de la Llave,25.582705,-103.376805,232.0,1550000.0
house,Yucatán,21.017197,-89.574516,220.0,1750000.0
house,Hidalgo,20.036614,-98.77615,295.0,1800000.0
house,Yucatán,21.0399331,-89.5965747,240.0,1890000.0
house,Morelos,18.893921,-99.221429,160.0,2850000.0
house,Aguascalientes,,,140.0,650000.0
house,Veracruz de Ignacio de la Llave,25.545829,-103.38708,115.0,1100000.0
house,Quintana Roo,21.139086,-86.84964,290.0,2250000.0
house,Chiapas,19.681248,-101.209167,180.0,1350000.0
apartment,Distrito Federal,19.271467,-99.146309,98.0,2486000.0
house,Chiapas,19.724886,-101.118018,120.0,1400000.0
house,Estado de México,19.420156,-99.249458,378.0,6100000.0
apartment,Puebla,,,212.0,5368000.0
house,Guanajuato,20.684505,-101.406695,280.0,3600000.0
house,Guanajuato,,,150.0,1900000.0
house,Puebla,18.984862,-98.222234,299.0,4400000.0
house,Distrito Federal,19.289286,-99.158066,140.0,2360000.0
house,San Luis Potosí,22.150696,-101.010025,172.0,1540000.0
apartment,Distrito Federal,19.444924,-99.139843,60.0,879333.0
house,Tabasco,18.017324,-92.899362,98.0,700000.0
house,Puebla,19.014643,-98.170731,286.0,4950000.0
house,Estado de México,,,270.0,6000000.0
house,Tamaulipas,22.258686,-97.851753,163.0,2000000.0
house,Distrito Federal,19.378482,-99.220795,100.0,3820163.0
house,Morelos,18.93409,-99.254997,240.0,3400000.0
house,Yucatán,,,385.0,5950000.0
house,Yucatán,21.0315095,-89.600513,325.0,3550000.0
apartment,Yucatán,21.072905,-89.65963,190.0,3500000.0
apartment,Morelos,18.923538,-99.241848,110.0,1100000.0
apartment,Distrito Federal,,,92.0,1280000.0
house,Querétaro,20.681293,-100.329622,155.0,1850000.0
apartment,Puebla,,,121.0,2390000.0
house,Morelos,18.821062,-98.949371,120.0,1320000.0
apartment,Guerrero,16.8531086,-99.8236533,141.0,2300000.0
apartment,Puebla,19.049024,-98.281669,127.0,1690000.0
house,Tamaulipas,22.3400533557,-97.8860995173,165.0,1700000.0
house,Morelos,18.862602,-99.213448,145.0,1850000.0
apartment,Morelos,,,105.0,1840000.0
apartment,Yucatán,21.018724,-89.589836,60.0,895000.0
house,Jalisco,20.569456,-103.50165,176.0,2350000.0
house,Yucatán,,,296.0,2600000.0
apartment,Distrito Federal,19.3934457,-99.1796926,100.0,5304678.0
house,Puebla,,,92.0,960000.0
apartment,Distrito Federal,19.436024,-99.15461,64.0,4500000.0
apartment,Distrito Federal,19.378009,-99.193543,180.0,1485600.0
apartment,Distrito Federal,19.416294,-99.16748,117.0,5499000.0
house,Querétaro,,,134.0,1690000.0
house,Morelos,18.859078,-99.176287,82.0,760000.0
house,Querétaro,20.692161,-100.465025,258.0,2800000.0
house,Querétaro,20.394361,-99.973053,120.0,1400000.0
house,Baja California,32.453504,-117.038495,111.0,1366313.0
house,Yucatán,,,135.0,1010000.0
house,Tabasco,23.634501,-102.552788,82.0,850000.0
house,Estado de México,19.619862,-99.146996,75.0,703705.0
house,Veracruz de Ignacio de la Llave,,,255.0,2850000.0
house,Hidalgo,20.059035,-98.790359,240.0,2700000.0
house,Estado de México,19.468129,-99.04049,86.0,813345.0
house,Yucatán,21.0424858,-89.5568382,200.0,1735000.0
house,Guerrero,16.758369,-99.768737,136.0,2559600.0
house,Querétaro,,,112.0,1519200.0
house,Nuevo León,25.6315927,-100.1953926,90.0,820000.0
apartment,Quintana Roo,21.1595877395,-86.8222086132,145.0,3160000.0
apartment,Guerrero,16.860338,-99.870399,250.0,1900000.0
apartment,Guerrero,16.8665658191,-99.8808288574,108.0,980000.0
apartment,Jalisco,20.685983,-103.447155,64.0,1470000.0
house,Yucatán,21.0751632,-89.5167298,252.0,1974967.0
apartment,Distrito Federal,19.376822,-99.174675,114.0,4436000.0
apartment,Puebla,19.0303511,-98.3143192,102.0,1850000.0
house,Distrito Federal,19.433274,-99.210758,304.0,4398100.0
apartment,Distrito Federal,19.394358,-99.177444,100.0,4358600.0
house,Yucatán,21.039522,-89.563911,146.0,1450000.0
house,Morelos,18.8954874,-99.1732936,154.0,1780000.0
house,Puebla,18.984862,-98.222234,289.0,4300000.0
house,Yucatán,21.072905,-89.65963,90.0,1200000.0
house,Morelos,18.813908,-99.201675,67.0,650000.0
house,Jalisco,20.424117,-103.29756,299.0,3100000.0
house,Yucatán,21.0381057,-89.5933722,182.0,1995000.0
house,Estado de México,19.2828302502,-99.566673518,267.0,3000000.0
house,Veracruz de Ignacio de la Llave,,,370.0,3500000.0
house,Chihuahua,28.6464221,-106.0860628,233.0,2950000.0
apartment,Estado de México,19.5652097,-99.2646998,87.0,1850000.0
house,Estado de México,19.284855,-98.950752,80.0,1320000.0
house,Nayarit,20.70506,-105.269812,101.0,1250000.0
house,Distrito Federal,19.2753576,-99.1675547,370.0,5000000.0
apartment,Veracruz de Ignacio de la Llave,19.137135,-96.112946,110.0,1100000.0
house,Jalisco,20.675995,-103.420837,220.0,4050000.0
house,Tamaulipas,22.3151894,-97.8573594,318.0,900000.0
house,Distrito Federal,,,220.0,1600000.0
apartment,Distrito Federal,19.436404,-99.173617,70.0,1710284.0
house,Quintana Roo,21.095711,-86.869343,147.0,1869000.0
house,Baja California,32.509445,-116.985857,104.0,1500000.0
house,Morelos,,,333.0,3600000.0
house,Jalisco,20.616705,-103.413612,105.0,1250000.0
house,Sinaloa,,,183.0,725000.0
house,Sinaloa,23.215713,-106.418182,315.0,4800000.0
house,Yucatán,21.039522,-89.563911,277.0,2800000.0
house,Yucatán,21.072905,-89.65963,240.0,2335000.0
house,Yucatán,21.072905,-89.65963,201.0,1429000.0
apartment,Yucatán,21.015982,-89.705116,172.0,3350000.0
apartment,San Luis Potosí,22.125907517,-100.9865534306,103.0,1020000.0
house,Querétaro,20.547674,-100.394761,110.0,980000.0
apartment,Jalisco,20.677448,-103.400405,135.0,4500000.0
house,Morelos,,,270.0,5000000.0
